,Race Placement,Bib Number,Participant Name,Chip Time,Pace,Gender,Age,City,State / Province,Fire Tower Rank,Fire Tower Time,Fire Tower Pace,Hwy OO Rank,Hwy OO Time,Hwy OO Pace,Boedecker Rank,Boedecker Time,Boedecker Pace,Timber Tr Rank,Timber Tr Time,Timber Tr Pace,TT to Fin Rank,TT to Fin Time,TT to Fin Pace,Age Group Place,Age Group Description
0,1,301,Ian Torchia,2:39:00.9,3:32,M,24,Rochester,MN,1,38:31,3:13,1,1:07:14,3:12,1,1:24:58,3:13,1,2:09:24,3:22,1,2:39:01,3:32,1,M 0-99
1,2,304,Johnny Hagenbuch,2:46:18.0,3:42,M,19,Ketchum,ID,8,40:13,3:21,8,1:11:06,3:23,7,1:30:05,3:24,3,2:18:13,3:36,2,2:46:18,3:42,2,M 0-99
2,3,306,Tyler Kornfield,2:47:08.9,3:43,M,30,Anchorage,AK,3,38:43,3:14,3,1:07:57,3:14,2,1:27:01,3:17,2,2:16:13,3:33,3,2:47:09,3:43,3,M 0-99
3,4,313,Brian Gregg,2:49:22.6,3:46,M,36,Minneapolis,MN,6,39:54,3:19,7,1:10:42,3:22,6,1:30:02,3:24,4,2:18:26,3:36,4,2:49:23,3:46,4,M 0-99
4,5,319,Matt Liebsch,2:51:17.8,3:49,M,37,Orono,MN,5,39:24,3:17,4,1:09:43,3:19,5,1:29:13,3:22,5,2:18:27,3:36,5,2:51:18,3:49,5,M 0-99
5,6,610,Rosie Frankowski,2:51:44.0,3:49,F,29,Anchorage,AK,15,42:37,3:33,13,1:13:40,3:31,11,1:33:43,3:32,9,2:21:09,3:40,6,2:51:44,3:49,1,F 0-99
6,7,311,Sam Wood,2:52:38.5,3:50,M,24,Ketchum,ID,4,38:51,3:14,5,1:09:44,3:19,4,1:29:12,3:22,7,2:18:47,3:36,7,2:52:39,3:50,6,M 0-99
7,8,605,Alayna Sonnesyn,2:52:42.1,3:51,F,24,Plymouth,MN,14,42:36,3:33,14,1:13:40,3:31,12,1:33:45,3:33,10,2:23:01,3:43,8,2:52:42,3:51,2,F 0-99
8,9,323,Christian Gostout,2:55:05.4,3:54,M,22,Bozeman,MT,7,39:55,3:19,6,1:10:42,3:22,8,1:30:09,3:24,8,2:20:52,3:39,9,2:55:05,3:54,7,M 0-99
9,10,307,Peter Holmes,2:55:34.4,3:54,M,24,Ketchum,ID,2,38:34,3:13,2,1:07:53,3:14,3,1:27:25,3:18,6,2:18:29,3:36,10,2:55:34,3:54,8,M 0-99
10,11,314,Finn O'Connell,2:57:41.1,3:57,M,22,Bozeman,MT,9,40:18,3:21,10,1:12:38,3:28,9,1:32:50,3:30,11,2:26:02,3:47,11,2:57:41,3:57,9,M 0-99
11,12,321,Peter Hinds,3:00:31.1,4:00,M,18,Bozeman,MT,13,41:54,3:29,15,1:13:45,3:31,13,1:33:57,3:33,13,2:27:53,3:51,12,3:00:31,4:00,10,M 0-99
12,13,302,Chris Pappathopoulos,3:01:30.4,4:02,M,40,Sun Prairie,WI,12,41:42,3:29,12,1:13:35,3:30,15,1:34:02,3:33,12,2:27:19,3:49,13,3:01:30,4:02,11,M 0-99
13,14,303,Evan Wetzel,3:02:32.2,4:04,M,23,Waukesha,WI,16,43:33,3:37,16,1:16:35,3:39,16,1:36:50,3:39,15,2:29:10,3:52,14,3:02:32,4:04,12,M 0-99
14,15,310,Logan Diekmann,3:04:18.0,4:05,M,23,Bozeman,MT,11,40:57,3:25,11,1:13:23,3:29,14,1:33:58,3:33,14,2:28:52,3:52,15,3:04:18,4:05,13,M 0-99
15,16,329,Andrew Newell,3:05:50.5,4:08,M,37,Bozeman,MT,10,40:41,3:23,9,1:12:09,3:26,10,1:32:52,3:30,16,2:29:28,3:53,16,3:05:51,4:08,14,M 0-99
16,17,316,Connor Canfield,3:05:58.7,4:08,M,24,Plymouth,MN,19,44:51,3:44,18,1:17:41,3:42,18,1:38:55,3:44,17,2:32:45,3:58,17,3:05:59,4:08,15,M 0-99
17,18,608,Katie Feldman,3:07:08.4,4:10,F,25,Ketchum,ID,17,43:39,3:38,17,1:17:04,3:40,17,1:38:18,3:42,18,2:33:39,3:59,18,3:07:08,4:10,3,F 0-99
18,19,601,Caitlin Gregg,3:11:21.2,4:15,F,40,Minneapolis,MN,18,44:07,3:41,20,1:19:52,3:48,20,1:42:38,3:52,19,2:38:29,4:07,19,3:11:21,4:15,4,F 0-99
19,20,322,Craig Cardinal,3:11:35.8,4:15,M,38,Northfield,MN,25,46:53,3:54,23,1:20:54,3:51,22,1:42:52,3:53,20,2:38:41,4:07,20,3:11:36,4:15,16,M 0-99
20,21,305,Andrew Tilman,3:14:29.1,4:19,M,32,Minneapolis,MN,26,46:54,3:54,25,1:21:25,3:52,21,1:42:51,3:53,21,2:39:25,4:09,21,3:14:29,4:19,17,M 0-99
21,22,325,Piotr Bednarski,3:14:34.6,4:20,M,54,Minneapolis,MN,24,46:52,3:54,26,1:21:33,3:53,25,1:43:19,3:54,24,2:41:41,4:12,22,3:14:35,4:20,18,M 0-99
22,23,324,Eric Patterson,3:15:56.2,4:21,M,22,Duluth,MN,21,45:50,3:49,21,1:20:52,3:51,23,1:43:02,3:53,23,2:41:13,4:11,23,3:15:56,4:21,19,M 0-99
23,24,320,David Nelson,3:15:58.3,4:22,M,48,Hayward,WI,28,47:11,3:56,28,1:23:08,3:57,28,1:46:22,4:01,27,2:43:47,4:15,24,3:15:58,4:22,20,M 0-99
24,25,399,Tom Krenz,3:17:11.5,4:23,M,59,Chisago City,MN,33,47:53,3:59,29,1:23:25,3:59,29,1:46:23,4:01,26,2:43:36,4:15,25,3:17:12,4:23,21,M 0-99
25,26,359,Mikael Kilpela,3:20:03.8,4:27,M,38,Marquette,MI,29,47:48,3:59,32,1:23:41,3:59,30,1:46:27,4:01,29,2:44:27,4:16,26,3:20:04,4:27,22,M 0-99
26,27,396,Kieran Mullen,3:20:11.9,4:27,M,20,Hazelhurst,WI,20,45:42,3:49,19,1:19:23,3:47,19,1:41:47,3:51,22,2:39:26,4:09,27,3:20:12,4:27,23,M 0-99
27,28,604,Josie Nelson,3:22:07.9,4:30,F,42,Hayward,WI,39,49:48,4:09,35,1:25:50,4:05,36,1:49:47,4:09,33,2:48:21,4:22,28,3:22:08,4:30,5,F 0-99
28,29,339,Erik Hoeg,3:22:16.8,4:30,M,31,Plymouth,MN,31,47:52,3:59,27,1:22:50,3:57,27,1:45:53,4:00,28,2:43:48,4:15,29,3:22:17,4:30,24,M 0-99
29,30,326,Luc Golin,3:22:48.3,4:30,M,21,Medina,MN,22,45:50,3:49,22,1:20:53,3:51,24,1:43:07,3:54,25,2:43:20,4:15,30,3:22:48,4:30,25,M 0-99
