,Race Placement,Bib Number,Participant Name,Chip Time,Pace,Gender,Age,City,State / Province,Fire Tower Rank,Fire Tower Time,Fire Tower Pace,Hwy OO Rank,Hwy OO Time,Hwy OO Pace,Boedecker Rank,Boedecker Time,Boedecker Pace,Timber Tr Rank,Timber Tr Time,Timber Tr Pace,TT to Fin Rank,TT to Fin Time,TT to Fin Pace,Age Group Place,Age Group Description
0,1,11347,Edward Roe,3:10:05.1,4:14,M,19,Traverse City,MI,1,47:06,3:56,1,1:20:21,3:49,1,1:42:12,3:51,1,2:36:41,4:04,1,3:10:05,4:14,,
1,2,11345,Douglas Shield,3:21:14.9,4:28,M,22,Madison,WI,2,47:28,3:57,2,1:21:48,3:54,2,1:45:36,3:59,2,2:44:42,4:17,2,3:21:15,4:28,,
2,3,11461,Alexander Gude,3:23:51.7,4:32,M,21,Burnsville,MN,4,48:55,4:05,3,1:24:24,4:01,3,1:48:35,4:06,3,2:48:33,4:23,3,3:23:52,4:32,,
3,4,11367,Michael McPherson,3:28:51.6,4:38,M,30,Ironwood,MI,8,50:13,4:11,5,1:25:40,4:05,4,1:50:28,4:10,4,2:49:43,4:25,4,3:28:52,4:38,,
4,5,16360,Paul Timm,3:30:00.5,4:40,M,25,Oconomowoc,WI,29,54:21,4:32,24,1:33:45,4:28,22,1:59:35,4:31,8,2:56:37,4:35,5,3:30:01,4:40,,
5,6,11487,Craig Hughes,3:30:19.8,4:40,M,54,Hancock,MI,12,51:14,4:16,8,1:28:01,4:12,6,1:53:04,4:16,6,2:54:40,4:32,6,3:30:20,4:40,,
6,7,11472,Tucker Haunt,3:31:16.8,4:41,M,29,Bozeman,MT,11,51:14,4:16,7,1:27:59,4:12,7,1:53:26,4:17,7,2:56:07,4:35,7,3:31:17,4:41,,
7,8,13521,Andrew Einspanier,3:31:30.7,4:42,M,24,Iron River,WI,3,48:33,4:03,4,1:25:08,4:03,5,1:51:04,4:12,5,2:53:06,4:30,8,3:31:31,4:42,,
8,9,13575,Sean Heaton,3:33:36.7,4:45,M,24,Maple Grove,MN,9,50:22,4:12,13,1:29:41,4:16,17,1:57:06,4:25,10,2:56:49,4:35,9,3:33:37,4:45,,
9,10,13565,Forrest Dorsey,3:33:54.6,4:45,M,18,Lake Tomahawk,WI,5,49:35,4:08,6,1:27:23,4:10,11,1:54:54,4:20,11,2:57:27,4:37,10,3:33:55,4:45,,
10,11,16335,Samuel Kilpela,3:34:02.1,4:45,M,35,Atlantic Mine,MI,31,54:23,4:32,25,1:33:52,4:28,20,1:59:27,4:30,13,2:59:28,4:40,11,3:34:02,4:45,,
11,12,11495,Tyler Fish,3:34:55.7,4:46,M,47,Ely,MN,10,51:12,4:16,10,1:28:06,4:12,8,1:53:31,4:17,9,2:56:43,4:35,12,3:34:56,4:46,,
12,13,11305,Brent Bjerkness,3:35:37.5,4:48,M,53,Minneapolis,MN,14,51:25,4:17,11,1:28:16,4:12,9,1:53:47,4:18,12,2:58:50,4:39,13,3:35:38,4:48,,
13,14,11497,David Slette,3:36:42.0,4:49,M,47,Harshaw,WI,20,52:28,4:22,18,1:30:34,4:18,13,1:56:16,4:23,14,3:00:22,4:41,14,3:36:42,4:49,,
14,15,13541,Brian Wicklund,3:38:11.0,4:51,M,55,Marine On St. Croix,MN,6,49:47,4:09,19,1:30:47,4:19,21,1:59:34,4:31,16,3:01:38,4:43,15,3:38:11,4:51,,
15,16,11328,Tom McLeod,3:38:26.5,4:51,M,59,Rochester,MN,16,51:54,4:20,15,1:30:27,4:18,19,1:59:13,4:30,19,3:03:05,4:45,16,3:38:27,4:51,,
16,17,11464,Jesse Longley,3:38:58.1,4:52,M,55,Bloomington,MN,15,51:38,4:18,14,1:30:03,4:17,14,1:56:34,4:24,18,3:02:16,4:44,17,3:38:58,4:52,,
17,18,11357,Jeffrey Osterberg,3:39:12.4,4:52,M,38,Stevens Point,WI,13,51:14,4:16,9,1:28:02,4:12,10,1:53:58,4:18,15,3:00:41,4:41,18,3:39:12,4:52,,
18,19,13128,Brock Lundberg,3:41:18.7,4:55,M,45,Hudson,WI,7,49:51,4:09,12,1:29:03,4:14,12,1:56:04,4:23,17,3:02:16,4:44,19,3:41:19,4:55,,
19,20,11477,Anthony Lushanko,3:42:46.4,4:57,M,45,Forest Lake,MN,25,53:47,4:29,23,1:33:21,4:27,23,2:00:19,4:32,21,3:06:05,4:50,20,3:42:46,4:57,,
20,21,11387,Allen Sorgenfrei,3:43:16.3,4:58,M,56,Livonia,MI,17,52:04,4:20,17,1:30:28,4:18,16,1:57:03,4:25,20,3:05:35,4:49,21,3:43:16,4:58,,
21,22,11330,Adam Schwartz-Lowe,3:43:17.5,4:58,M,48,Duluth,MN,19,52:08,4:20,20,1:31:03,4:20,18,1:58:54,4:29,22,3:06:38,4:51,22,3:43:18,4:58,,
22,23,11427,Jeremy Steele,3:44:46.0,5:00,M,40,Negaunee,MI,18,52:06,4:20,16,1:30:28,4:18,15,1:56:55,4:25,25,3:09:00,4:55,23,3:44:46,5:00,,
23,24,12525,Dominic Beckman,3:45:56.2,5:01,M,30,Ironwood,MI,32,54:37,4:33,28,1:36:31,4:36,27,2:06:02,4:45,23,3:07:16,4:52,24,3:45:56,5:01,,
24,25,11466,Luke Zupan,3:48:20.3,5:04,M,33,Duluth,MN,23,53:31,4:28,22,1:32:56,4:25,25,2:02:17,4:37,24,3:08:38,4:54,25,3:48:20,5:04,,
25,26,11424,Steven Assie,3:51:47.4,5:09,M,34,Minneapolis,MN,22,53:05,4:25,21,1:32:28,4:24,24,2:00:43,4:33,26,3:10:35,4:57,26,3:51:47,5:09,,
26,27,11502,Craig Stertz,3:53:09.8,5:11,M,59,Grand Rapids,MN,28,54:19,4:32,26,1:35:07,4:32,26,2:04:59,4:43,27,3:15:37,5:05,27,3:53:10,5:11,,
27,28,11370,Randy Peterson,3:57:05.4,5:16,M,55,Northfield,MN,27,54:19,4:32,27,1:36:21,4:35,29,2:06:55,4:47,28,3:17:17,5:08,28,3:57:05,5:16,,
